Copyright (C) 2024  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details, at
https://fpgasoftware.intel.com/eula.

Analysis & Synthesis Resource Utilization by Entity

Compilation Hierarchy Node,Combinational ALUTs,Dedicated Logic Registers,Block Memory Bits,DSP Blocks,Pins,Virtual Pins,Full Hierarchy Name,Entity Name,Library Name
|scrambler_mm,2562 (3),2714 (0),41728,1,23,0,|scrambler_mm,scrambler_mm,work
   |rom_scrambler_config:rom_scrambler_config0|,38 (0),34 (0),512,0,0,0,|scrambler_mm|rom_scrambler_config:rom_scrambler_config0,rom_scrambler_config,work
      |altsyncram:altsyncram_component|,38 (0),34 (0),512,0,0,0,|scrambler_mm|rom_scrambler_config:rom_scrambler_config0|altsyncram:altsyncram_component,altsyncram,work
         |altsyncram_72j1:auto_generated|,38 (0),34 (0),512,0,0,0,|scrambler_mm|rom_scrambler_config:rom_scrambler_config0|altsyncram:altsyncram_component|altsyncram_72j1:auto_generated,altsyncram_72j1,work
            |altsyncram_8kk2:altsyncram1|,0 (0),0 (0),512,0,0,0,|scrambler_mm|rom_scrambler_config:rom_scrambler_config0|altsyncram:altsyncram_component|altsyncram_72j1:auto_generated|altsyncram_8kk2:altsyncram1,altsyncram_8kk2,work
            |sld_mod_ram_rom:mgl_prim2|,38 (22),34 (25),0,0,0,0,|scrambler_mm|rom_scrambler_config:rom_scrambler_config0|altsyncram:altsyncram_component|altsyncram_72j1:auto_generated|sld_mod_ram_rom:mgl_prim2,sld_mod_ram_rom,work
               |sld_rom_sr:\ram_rom_logic_gen:name_gen:info_rom_sr|,16 (16),9 (9),0,0,0,0,|scrambler_mm|rom_scrambler_config:rom_scrambler_config0|altsyncram:altsyncram_component|altsyncram_72j1:auto_generated|sld_mod_ram_rom:mgl_prim2|sld_rom_sr:\ram_rom_logic_gen:name_gen:info_rom_sr,sld_rom_sr,work
   |rom_scrambler_config_reader:rom_scrambler_config_reader0|,58 (58),266 (266),0,0,0,0,|scrambler_mm|rom_scrambler_config_reader:rom_scrambler_config_reader0,rom_scrambler_config_reader,work
   |scrambler:scrambler_inst|,2362 (24),2328 (0),41216,1,0,0,|scrambler_mm|scrambler:scrambler_inst,scrambler,work
      |delay_buffer_4clk:delay_stream|,16 (16),52 (52),0,0,0,0,|scrambler_mm|scrambler:scrambler_inst|delay_buffer_4clk:delay_stream,delay_buffer_4clk,work
